Czynność,Gdzie,Polecenie
,SonarQube,"W Administration (w pasku u góry)
-> Marketplace (zakładka)
-> Wyszukaj pluginu ""Mutation Analysis"" -> Install"
,SonarQube,"Na górze w pasku ""SonarQube needs to be restarted in order to
install 1 plugins"" -> kliknij restart server -> następnie zaczekaj około minuty i odśwież stronę"
,SonarQube,"W Administration -> Configuration -> General Settings -> z menu po lewej wybierz Mutation Analysis
Upewnij się, że wszystko jest ok"
,PrzydzielonyHost,docker run --rm --network ecosystem -v $(pwd):/usr/src sonarsource/sonar-scanner-cli
,PrzydzielonyHost,"Wynik powinien być ""EXECUTION SUCCESS"""
,SonarQube,"The goal of this plugin is to bring PIT results to SonarQube.
""Survived mutants"" are seen as SonarQube issues.
""Killed mutants"" show as a coverage measure in the class containing the mutant.
If code is not covered by any test, that code will not be mutated; prior test coverage is a precondition for mutation testing.
Finally, if the percentage of ""Survived mutants"" in a source file exceeds a configurable threshold, the plugin creates a SonarQube issue on the source file."
,-,PITest - Jenkins
,PrzydzielonyHost,cd /home/src/java/
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,"Musimy dodać nowy stage o nazwie ""Mutation Testing""

Problem w tym, że testy mutacyjne muszą wykonać się po:
- kompilacji
- testach jednostkowych
- testach integracyjnych

Ale przed Statyczną analizą kodu źródłowego.

Ze względu na to, że:
- Pitest potrzebuje coverage oraz wykrycia testów do uruchomienia
- SonarScanner zbiera wyniki Pitest i wrzuca je do SonarQube."
,Jenkins,"Dodaj nowy stage o nazwie ""Static Code Analysis""
Add Step -> ""shell script"" -> wpisujemy:

docker run --rm --network ecosystem -v $(pwd):/usr/src sonarsource/sonar-scanner-cli

""Static Code Analysis"" będzie identyczny do już istniejącego
Przez co mamy dwa kroki ""Static Code Analysis"""
,Jenkins,"Zmodyfikuj stage ""Static Code Analysis"" (ten stary; w środku po testach a przed nowym static code analysis)

Zmień nazwę na: Mutation Testing
Zmodyfikuj istniejący krok -> ""shell script"" -> wpisujemy: echo ""mutation testing...""
[na górze] klikamy ""Save""
[na środku]  ""Save & run""
Build powinien się udać"
,Jenkins,"Musimy teraz odwrócić kolejność, tzn. Stage ""Mutation"" musi być przed ""Static Code Analysis""
# Kiedyś w blue ocean była możliwość przeciągania stage, ale teraz już nie ma
# Trzeba podmienić je ręczenie metodą Kopiego-pejsta (ctrl+c, ctrl+v)"
,Jenkins,"Edytujemy stage o nazwie ""Mutation Testing""
Edytuj krok ""shell script"" -> zmień zawartość

mvn org.pitest:pitest-maven:mutationCoverage

[na górze] klikamy ""Save""
[na środku]  ""Save & run""
Build powinien się udać"
,-,Jenkins - Smoke test
,-,Jenkins - BDD (Functional)
,-,Jenkins - Load test
,-,Registry - Instalacja
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,sudo mkdir -p /home/registry
,PrzydzielonyHost,sudo chmod 777 /home/registry
,PrzydzielonyHost,"docker run \
    --detach \
    --rm \
    --name registry \
    --net ecosystem \
    --publish 5000:5000 \
    --volume /home/registry:/var/lib/registry \
    registry:2"
,PrzydzielonyHost,git pull
,PrzydzielonyHost,docker ps
,-,Registry - Publikowanie obrazów
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,docker images
,PrzydzielonyHost,docker rm $(docker ps -aq)
,PrzydzielonyHost,docker rmi $(docker images -q)
,PrzydzielonyHost,docker pull alpine
,PrzydzielonyHost,docker pull alpine:latest
,PrzydzielonyHost,docker pull docker.io/library/alpine:latest
,PrzydzielonyHost,docker pull localhost:5000/alpine:latest
,PrzydzielonyHost,"docker push localhost:5000/alpine:latest
# Powinno się nie powieść: An image does not exist locally with the tag: localhost:5000/alpine"
,PrzydzielonyHost,docker tag alpine:latest localhost:5000/alpine:latest
,PrzydzielonyHost,"docker images
# Powinien pojawić się: localhost:5000/alpine"
,PrzydzielonyHost,docker push localhost:5000/alpine:latest
,PrzydzielonyHost,curl -s http://localhost:5000/v2/alpine/tags/list
,-,Registry - Publikowanie obrazów
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,docker build . -f Dockerfile.runtime -t myapp:latest
,PrzydzielonyHost,docker build . -f Dockerfile.runtime -t myapp:$(git log -1 --format='%h')
,PrzydzielonyHost,docker images
,PrzydzielonyHost,docker build . -f Dockerfile.runtime -t localhost:5000/myapp:$(git log -1 --format='%h')
,PrzydzielonyHost,docker images
,PrzydzielonyHost,docker push localhost:5000/myapp:$(git log -1 --format='%h')
,PrzydzielonyHost,docker images
,PrzydzielonyHost,docker rmi localhost:5000/myapp:$(git log -1 --format='%h')
,PrzydzielonyHost,docker images
,PrzydzielonyHost,df -h
,Przeglądarka,http://$PRZYDZIELONE_IP:5000/v2/myapp/tags/list
,PrzydzielonyHost,curl -s http://localhost:5000/v2/myapp/tags/list |python3 -m json.tool
,-,Registry - UI
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,sudo mkdir -p /home/registry-ui
,PrzydzielonyHost,sudo chmod 777 /home/registry-ui/
,PrzydzielonyHost,"vim /home/registry-ui/config.yml
# Przejście do trybu edycji klawisz `a`

listen_addr: 0.0.0.0:8888
base_path: /

registry_url: http://registry:5000
verify_tls: true

# registry_username: user
# registry_password: pass

# The same one should be configured on Docker registry as Authorization Bearer token.
event_listener_token: token
event_retention_days: 7

event_database_driver: sqlite3
event_database_location: data/registry_events.db
# event_database_driver: mysql
# event_database_location: user:password@tcp(localhost:3306)/docker_events

cache_refresh_interval: 10

# If users can delete tags.
# If set to False, then only admins listed below.
anyone_can_delete: false

# Users allowed to delete tags.
# This should be sent via X-WEBAUTH-USER header from your proxy.
admins: []

# Debug mode. Affects only templates.
debug: true

# How many days to keep tags but also keep the minimal count provided no matter how old.
purge_tags_keep_days: 90
purge_tags_keep_count: 2


# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# (Litery pojawią się na dole ekranu w pasku statusu)"
,PrzydzielonyHost,"docker run \
        --name=registry-ui \
        --detach \
        --rm \
        --network ecosystem \
        --publish 8888:8888 \
        --volume /home/registry-ui/config.yml:/opt/config.yml:ro \
        quiq/docker-registry-ui"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:8888/
- Przeglądnij projektu myapp
- Porównaj wersje obrazów"
,-,Registry - Jenkins
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,docker rm $(docker ps -aq)
,PrzydzielonyHost,docker rmi $(docker images -q)
,PrzydzielonyHost,cp -a /home/ubuntu/.m2 .m2
,PrzydzielonyHost,"cat Dockerfile.cicd

# Upewnij się, że treść jest poprwna:

FROM alpine:3.14
RUN apk add --no-cache openjdk8 maven
RUN adduser cicd -D -u 1000 -s /bin/ash -h /home
COPY .m2 /home/.m2"
,PrzydzielonyHost,docker build . -f Dockerfile.cicd -t myapp:cicd
,PrzydzielonyHost,"git status

# Powinien być tylko Dockerfile.cicd
# Jeżeli jest coś innego powiedz trenerowi"
,PrzydzielonyHost,"git commit -am ""Dockerfile"""
,PrzydzielonyHost,git pull --rebase
,PrzydzielonyHost,git push
,Jenkins,Edytuj pipeline w Jenkinsie
,Jenkins,"Dodaj nowy stage i nazwij go ""Publish Artifact""
Add Step -> ""shell script"" -> wpisujemy: echo ""publishing artifact...""
Zwróć uwagę na wielkość liter, spacje i rodzaj cudzysłowów

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,Build powinien się udać
,Jenkins,"Edytuj pipeline w Jenkinsie i w stage ""Publish Artifact"" usuń obecny krok, i dodaj trzy nowe kroki (""shell script)"":

docker build . -f Dockerfile.runtime -t localhost:5000/myapp:$(git log -1 --format=""%h"")
docker push localhost:5000/myapp:$(git log -1 --format=""%h"")
docker rmi localhost:5000/myapp:$(git log -1 --format=""%h"")

# Uwaga, to ma być jako trzy osobne ""shell scripty"", a nie w jednym

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,"Build powinien się NIE udać
# COPY failed: file not found in build context or excluded by .dockerignore: stat .m2: file does not exist"
,Jenkins,"Edytuj pipeline w Jenkinsie i w stage ""Publish Artifact"" dodaj jako pierwszy krok (""shell script):
cp -a ~/.m2 .m2

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,Build powinien się udać
,Przeglądarka,http://$PRZYDZIELONE_IP:8888/library/myapp
,PrzydzielonyHost,"curl -s http://localhost:5000/v2/myapp/tags/list |python3 -m json.tool
# Aby zobaczyć czy image został umieszczony w registry"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Registry - Jenkins update latest
,Jenkins,"Edytuj pipeline w Jenkinsie i w stage ""Publish Artifact"" dodaj trzy nowe kroki (""shell script"").
Nowe kroki dodaj po kroku docker push, a przed docker rmi

docker tag localhost:5000/myapp:$(git log -1 --format=""%h"") localhost:5000/myapp:latest
docker push localhost:5000/myapp:latest
docker rmi localhost:5000/myapp:latest

# Uwaga, to ma być jako trzy osobne ""shell scripty"", a nie w jednym

[na górze] klikamy ""Save""
[na środku]  ""Save & run"""
,Jenkins,Build powinien się udać
,Przeglądarka,http://$PRZYDZIELONE_IP:8888/library/myapp
,PrzydzielonyHost,"curl -s http://localhost:5000/v2/myapp/tags/list |python3 -m json.tool
# Aby zobaczyć czy image został umieszczony w registry"
,Przeglądarka,"Otwórz stronę w przeglądarce:
- URL: http://$PRZYDZIELONE_IP:3000/root/example-helloworld-java
- Zobacz zawartość pliku: `Jenkinsfile`"
,-,Podsumowanie
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,git reset --hard
,PrzydzielonyHost,git clean -fdx
,PrzydzielonyHost,git pull
,PrzydzielonyHost,clear
,PrzydzielonyHost,"cat Dockerfile.cicd
# Powinno wyświetlić:

FROM alpine:3.14
RUN apk add --no-cache openjdk8 maven
RUN adduser cicd -D -u 1000 -s /bin/ash -h /home
COPY .m2 /home/.m2"
,PrzydzielonyHost,"cat Dockerfile.runtime
# Powinno wyświetlić:

FROM alpine:3.14
RUN apk add --no-cache openjdk8 maven
COPY . /data
WORKDIR /data
COPY .m2 /root/.m2
ENTRYPOINT [""mvn""]"
,PrzydzielonyHost,"cat sonar-project.properties
# Powinno wyświetlić:

## SonarQube
sonar.host.url=http://sonarqube:9000/
sonar.login=e1feddc7144986696d58eb9575e7c78847fab18c

## Project
sonar.projectKey=myjavaproject

## Language
sonar.language=java
sonar.java.source=8

## Paths
sonar.projectBaseDir=/usr/src/
sonar.sources=src/main/java
sonar.exclusions=**/migrations/**
sonar.java.binaries=target/classes
sonar.working.directory=/tmp/

## Build Breaker
sonar.buildbreaker.skip=false
sonar.buildbreaker.queryInterval=10000
sonar.buildbreaker.queryMaxAttempts=1000"
,PrzydzielonyHost,"pipeline {
  agent any
  stages {
    stage('Environment') {
      steps {
        sh 'env'
        sh 'java -version'
        sh 'mvn --version'
      }
    }

    stage('Build') {
      steps {
        sh 'mvn compile'
      }
    }

    stage('Test') {
      parallel {
        stage('Unit Test') {
          steps {
            sh 'mvn test'
          }
        }

        stage('Integration Test') {
          steps {
            sh 'mvn verify'
          }
        }

      }
    }

    stage('Static Code Analysis') {
      steps {
        sh 'mvn compile'
        sh 'mvn test'
        sh 'mvn verify'
        sh 'mvn org.pitest:pitest-maven:mutationCoverage'
        sh 'docker run --rm --network ecosystem -v $(pwd):/usr/src sonarsource/sonar-scanner-cli'
      }
    }

    stage('Publish Artifact') {
      steps {
        sh 'cp -a ~/.m2 .m2'
        sh 'docker build . -f Dockerfile.runtime -t localhost:5000/myapp:$(git log -1 --format=""%h"")'
        sh 'docker tag localhost:5000/myapp:$(git log -1 --format=""%h"") localhost:5000/myapp:latest'
        sh 'docker push localhost:5000/myapp:$(git log -1 --format=""%h"")'
        sh 'docker push localhost:5000/myapp:latest'
        sh 'docker rmi localhost:5000/myapp:latest'
        sh 'docker rmi localhost:5000/myapp:$(git log -1 --format=""%h"")'
      }
    }

  }
  environment {
    JAVA_HOME = '/usr/lib/jvm/java-1.8-openjdk/'
  }"
,PrzydzielonyHost,"grep -Po ""^\s+sh '\K.+(?=')"" Jenkinsfile
# Powinno wyświetlić:

env
java -version
mvn --version
mvn compile
mvn test
mvn verify
mvn compile
mvn test
mvn verify
mvn org.pitest:pitest-maven:mutationCoverage
docker run --rm --network ecosystem -v $(pwd):/usr/src sonarsource/sonar-scanner-cli
cp -a ~/.m2 .m2
docker build . -f Dockerfile.runtime -t localhost:5000/myapp:$(git log -1 --format=""%h"")
docker tag localhost:5000/myapp:$(git log -1 --format=""%h"") localhost:5000/myapp:latest
docker push localhost:5000/myapp:$(git log -1 --format=""%h"")
docker push localhost:5000/myapp:latest
docker rmi localhost:5000/myapp:latest
docker rmi localhost:5000/myapp:$(git log -1 --format=""%h"")"
,-,Jenkins - optymalizacja cache
,PrzydzielonyHost,cd /home/src/java/ && clear
,PrzydzielonyHost,mkdir run/
,PrzydzielonyHost,touch run/build.sh
,PrzydzielonyHost,touch run/test-unit.sh
,PrzydzielonyHost,touch run/test-smoke.sh
,PrzydzielonyHost,touch run/test-static.sh
,PrzydzielonyHost,touch run/test-mutation.sh
,PrzydzielonyHost,touch run/test-feature.sh
,PrzydzielonyHost,touch run/test-regression.sh
,PrzydzielonyHost,touch run/test-ui.sh
,PrzydzielonyHost,touch run/test-integration.sh
,PrzydzielonyHost,touch run/test-load.sh
,PrzydzielonyHost,touch run/test-security.sh
,PrzydzielonyHost,touch run/publish-artifact.sh
,PrzydzielonyHost,touch run/deploy-dev.sh
,PrzydzielonyHost,touch run/deploy-test.sh
,PrzydzielonyHost,touch run/deploy-preprod.sh
,PrzydzielonyHost,touch run/deploy-prod.sh
,PrzydzielonyHost,chmod +x run/*
,PrzydzielonyHost,"pipeline {
  agent {
    docker { image 'myapp:cicd' }
  }

  stages {
    stage('Build') { steps { sh 'run/build.sh' }}

    parallel {
        stage('Test Feature')       { steps { sh 'run/test-feature.sh' }}
        stage('Test Integration')   { steps { sh 'run/test-integration.sh' }}
        stage('Test Load')          { steps { sh 'run/test-load.sh' }}
        stage('Test Mutation')      { steps { sh 'run/test-mutation.sh' }}
        stage('Test Regression')    { steps { sh 'run/test-regression.sh' }}
        stage('Test Security')      { steps { sh 'run/test-security.sh' }}
        stage('Test Smoke')         { steps { sh 'run/test-smoke.sh' }}
        stage('Test Static')        { steps { sh 'run/test-static.sh' }}
        stage('Test UI')            { steps { sh 'run/test-ui.sh' }}
        stage('Test Unit')          { steps { sh 'run/test-unit.sh' }}
    }

    stage('Publish')        { steps { sh 'run/publish-artifact.sh' }}
    stage('Deploy Dev')     { steps { sh 'run/deploy-dev.sh' }}
    stage('Deploy Test')    { steps { sh 'run/deploy-test.sh' }}
    stage('Deploy Preprod') { steps { sh 'run/deploy-preprod.sh' }}
    stage('Deploy Prod')    { steps { sh 'run/deploy-prod.sh' }}
  }
}"
,PrzydzielonyHost,awk -F\' '{print $4}' Jenkinsfile
,PrzydzielonyHost,"awk -F\' '{print $4}' Jenkinsfile |grep -v '^$'

## Powinno wyświetlić:
# run/build.sh
# run/test-feature.sh
# run/test-integration.sh
# run/test-load.sh
# run/test-mutation.sh
# run/test-regression.sh
# run/test-security.sh
# run/test-smoke.sh
# run/test-static-code-analysis.sh
# run/test-ui.sh
# run/test-unit.sh
# run/publish-artifact.sh
# run/deploy-dev.sh
# run/deploy-test.sh
# run/deploy-preprod.sh
# run/deploy-prod.sh"
,PrzydzielonyHost,git add Jenkinsfile run/
,PrzydzielonyHost,"git commit -am ""Run Scripts"""
,PrzydzielonyHost,git pull --rebase
,PrzydzielonyHost,"git push
- root
- abcdefghi"
,Jenkins,Wchodzimy na ekran z podsumowaniem wyniku budowania -> [prawy górny róg] kliknąć Ołówek [edit]
,Jenkins,"Save -> Save & Run
Build powinien się udać"
,PrzydzielonyHost,cat Jenkinsfile
,PrzydzielonyHost,"grep -Po ""^\s+sh '\K.+(?=')"" Jenkinsfile"
,-,Jenkins - optymalizacja cache
,,ANKIETA
